approach,experiment_id,num_steps,overall_mean_latency,peak_latency,num_times_crossed_above_sla,total_seconds_above_sla,total_seconds_in_cloud_cluster,percent_time_below_sla
reactive,validation-reactive-8h-concurrency-4-job-0_2025-07-14T014725_2025-07-14T094727_created_at_2025-07-14T094729.json,957,0.07269234316393036,0.445025086402893,15,690.0,16830.0,96.7674661105318
reactive,validation-reactive-8h-concurrency-4-job-0_2025-07-16T175000_2025-07-17T015002_created_at_2025-07-17T015004.json,958,0.07199464631561772,0.450255811214447,14,1020.0,16379.999999999998,95.93326381647549
reactive,validation-reactive-updated-job-0_2025-09-09T080007_2025-09-09T160009_created_at_2025-09-09T160012.json,941,0.0777290927954189,0.506513237953186,5,1740.0,14670.0,93.32638164754952
reactive,validation-reactive-updated-job-0_2025-09-09T160024_2025-09-10T000026_created_at_2025-09-10T000028.json,933,0.08186218220236124,0.5844491720199585,5,1710.0,15059.999999999998,93.84133611691023
reactive,validation-reactive-updated-job-0_2025-09-10T000040_2025-09-10T080041_created_at_2025-09-10T080043.json,948,0.07085352892949437,0.531601071357727,5,1110.0,16560.0,95.51616266944734
reactive,validation-reactive-updated-job-0_2025-09-10T080055_2025-09-10T160057_created_at_2025-09-10T160059.json,945,0.07403318661230575,0.5061771273612976,7,1050.0000000000005,16350.000000000002,96.34655532359082
reactive,validation-reactive-updated-job-0_2025-09-10T160110_2025-09-11T000112_created_at_2025-09-11T000114.json,956,0.06719777854666045,0.5344149470329285,2,690.0,16770.0,96.87174139728884
reactive,validation-reactive-updated-job-0_2025-09-11T000125_2025-09-11T080127_created_at_2025-09-11T080128.json,957,0.0669544181396885,0.5418868660926819,3,630.0,16440.0,97.28601252609603
reactive,validation-reactive-updated-job-0_2025-09-11T080140_2025-09-11T160142_created_at_2025-09-11T160144.json,952,0.06663761402712476,0.484647274017334,4,810.0,16650.0,96.7674661105318
reactive,validation-reactive-updated-job-0_2025-09-11T160156_2025-09-12T000158_created_at_2025-09-12T000201.json,950,0.06847871761572981,0.5631541609764099,2,600.0,16830.0,97.7035490605428
reactive,validation-reactive-updated-job-0_2025-09-12T000213_2025-09-12T080215_created_at_2025-09-12T080216.json,940,0.08191670120185142,0.5541919469833374,9,1350.0,12000.0,94.78623566214807
reactive,validation-reactive-updated-job-0_2025-09-12T080228_2025-09-12T160230_created_at_2025-09-12T160232.json,833,0.07952450530058665,0.546757698059082,5,990.0,13590.0,95.72471324296141
reactive,validation-reactive-updated-job-0_2025-09-12T160243_2025-09-13T000245_created_at_2025-09-13T000247.json,915,0.0743671947055392,0.5441375374794006,13,1740.0,19230.0,93.63256784968685
reactive,validation-reactive-updated-job-0_2025-09-13T000258_2025-09-13T080301_created_at_2025-09-13T080304.json,947,0.062390770638589,0.4954527020454407,2,510.0,19230.0,98.01876955161627
reactive,validation-reactive-updated-job-0_2025-09-13T080316_2025-09-13T160318_created_at_2025-09-13T160320.json,933,0.08056304189893927,0.540836751461029,7,1350.0,15869.999999999998,93.32638164754952
reactive,validation-reactive-updated-job-0_2025-09-13T160331_2025-09-14T000333_created_at_2025-09-14T000335.json,946,0.07275266163024867,0.5620116591453552,4,720.0,17040.0,96.66319082377477
reactive,validation-reactive-updated-job-0_2025-09-14T000347_2025-09-14T080349_created_at_2025-09-14T080351.json,936,0.06818683988857806,0.4890351295471191,2,840.0,16590.0,96.76409185803757
reactive,validation-reactive-updated-job-0_2025-09-14T080403_2025-09-14T160405_created_at_2025-09-14T160407.json,943,0.0667286818631759,0.6638796925544739,4,900.0,16920.0,96.55891553701773
reactive,validation-reactive-updated-job-0_2025-09-14T160419_2025-09-15T000421_created_at_2025-09-15T000423.json,920,0.08403146718291261,0.538930356502533,7,2160.0,5880.0,92.48434237995825
reactive,validation-reactive-updated-job-0_2025-09-15T000434_2025-09-15T080436_created_at_2025-09-15T080438.json,953,0.07032750615209657,0.5059613585472107,2,930.0,15630.0,96.03753910323253
reactive,validation-reactive-updated-job-0_2025-09-15T080451_2025-09-15T160453_created_at_2025-09-15T160455.json,927,0.07259564029360273,0.5767698287963867,6,1020.0,19350.0,94.98956158663883
reactive,validation-reactive-updated-job-0_2025-09-15T160507_2025-09-16T000509_created_at_2025-09-16T000511.json,936,0.07860948211192398,0.5481120347976685,5,1500.0,16200.0,93.95203336809176
reactive,validation-reactive-updated-job-0_2025-09-16T000522_2025-09-16T080524_created_at_2025-09-16T080527.json,950,0.07313918488067486,0.5359092354774475,2,1050.0,17340.0,96.34655532359082
